,name,url,description
1,Caprese Salad with Pesto Sauce,https://i.ndtvimg.com/i/2017-09/caprese-salad_625x350_51506417724.jpg,A great antipasto bite to start your meal with. Juicy tomatoes and mozzarella cheese salad topped with freshly made pesto sauce.
2,Panzenella,https://i.ndtvimg.com/i/2017-09/panzenella_600x300_71506417795.jpg,"Panzenella is a Tuscan bread salad, ideal for summer. It does not follow a particular recipe, but the two ingredients that do not change are tomatoes and bread. This salad is great with a chilled glass of Prosecco and lots of sunshine!"
3,Bruschetta,https://i.ndtvimg.com/i/2017-09/bruschetta_625x350_71506417841.jpg,Country bread sliced and topped with different toppings - the evergreen tomato-basil and an inventive mushroom-garlic. The classic Italian starter!
4,Focaccia Bread,https://i.ndtvimg.com/i/2017-09/frocaccia_600x300_41506417893.jpg,"Fresh dough is topped with caramelized onions, olives, tomato slices, basil leaves, grated parmesan cheese and baked delicious!"
5,Pasta Carbonara,https://i.ndtvimg.com/i/2017-09/pasta-carbonara_600x300_41506417953.jpg,"This simple Roman pasta dish derives its name from 'carbone' meaning coal. It was a pasta popular with the coal miners. The original recipe calls for guanciale, which is pig's cheek, but since its not easily available, the chef has used bacon instead."
6,Margherita Pizza,https://i.ndtvimg.com/i/2017-09/margherita-pizza_600x300_51506418004.jpg,"Fancy a pipping hot pizza, fresh out of the oven? Create one at home! One of the most loved Italian dishes, here's the recipe of 'Pizza Margherita'! Need we say more?"
7,Mushroom Risotto,https://i.ndtvimg.com/i/2017-09/risotto_625x350_81506418041.jpg,A plateful of buttery risotto with the goodness of mushrooms. Great to feed a hungry horde!
8,Pasta Con Pomodoro E Basilico,https://i.ndtvimg.com/i/2017-09/pasta-con-pomodoro-e-basilico_625x350_51506418092.jpg,"This is the most basic and simplest cooked pasta sauce, hence it is the benchmark of a good Italian home cook. This one boats of being among the original Italian recipes of pasta."
9,Tiramisu - The 'pick-me-up' cake,https://i.ndtvimg.com/i/2017-09/tiramisu-the-pick-me-up-cake_625x350_81506418133.jpg,"The delightful tiramisu recipe with sponge fingers soaked in coffee, layered around and smeared with a creamy mascarpone mixture. The word 'tiramisu' in Italian means 'pick-me-up'. Owing to its caffeine kick it sure does!"
10,Panna Cotta With Raspberry Coulis,https://i.ndtvimg.com/i/2017-09/panna-cotta-with-raspberry-coulis_600x300_81506418172.jpg,"End your meals, the Italian way! A dessert is made with gelatine, cream and milk. Chilled and served with whole raspberries and raspberry coulis. Panna Cotta, in Italian, means 'cooked cream.'"
