,name,url,description
1,Pepperoni,http://halalfoodexpress.com/wp-content/uploads/2016/12/Pepperoni-Pizza.jpg,
2,Mushrooms,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2010/4/6/0/0017796F1_Exotic-Mushroom-Pizza_s4x3.jpg.rend.hgtvcom.616.462.suffix/1371591222864.jpeg,
3,Onions,https://d1bjorv296jxfn.cloudfront.net/s3fs-public/styles/recipes_header_image/public/1504_ProvoloneProsciuttoOnionPizza.jpg?itok=pR54AxlR,
4,Sausage,https://d5dnlg5k9nac9.cloudfront.net/processed/thumbs/303e449f712a0b4fc560cd9db2388b576be5026d_r791_530.png,
5,Bacon,http://www.kunzler.com/wp-content/uploads/2015/08/ham-bacon-pizza.jpg,
6,Extra cheese,https://31p86334w2bvkz0249eyr0cr-wpengine.netdna-ssl.com/wp-content/uploads/2013/11/Homemade-Pizza-Crust-7.jpg,
7,Black olives,https://2.bp.blogspot.com/-JKZ9iOCovBY/UBGIVze7iFI/AAAAAAAAHpM/NOVjsxF8KHI/s1600/pizza_olives.jpg,
8,Green peppers,http://4.bp.blogspot.com/-Pz007rxDwKQ/TaTLqVRBd7I/AAAAAAAAAZs/BPJ-IPBCbm4/s1600/DSCN0757.jpg,
9,Pineapple,https://sparkpeo.hs.llnwd.net/e4/7/1/l719944983.jpg,
10,Spinach,https://s23209.pcdn.co/wp-content/uploads/2017/05/Roasted-Garlic-Chicken-and-Spinach-White-Pizza.jpg,
