"id","name","bid","bname","stars","date","text"
"-AIBX87wou-J2PPyr2y-rw","Maggee","n7V4cD-KqqE3OXk0irJTyA","GameWorks","4","2014-09-23 00:00:00","Fun and enjoyable. 
Bar, bowling, and games! 
Had a blast price on drink is fair, but on games find it a little pricey but great place! 
Sweet girl bartender at bowling aisle and the gentlemen at the bowling area!"
"-BMxM4OAm643wWIja-mC1w","Sara","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","2","2015-06-01 00:00:00","I really want to love this place because the neighborhood really needs a great place to eat, but the service is unprofessional. My family and I have been here a total of 4 times and each time it gets worse. Our last time at Charr was a nightmare. The manager on duty (blonde female) was completely short w/us because we complained about our waiter who we saw drinking a beer and smoking a cigarette by his truck minutes before we sat down. Usually when you go out to a restaurant you don't want your waiter smelling like a bar. Our food took over 30 minutes to get to our table and it wasn't busy. No refills on drinks until I had to get up and ask for refills. The food is good, but that is not good enough. A professional wait staff and a nice manager would be a good idea for this place. The owner of Charr would have been very disappointed with the managers attitude."
"-ijJvthn69xBeTD6YAJ7wA","Don","PfOCPjBrlQAnz__NXj9h_w","Brick House Tavern + Tap","5","2017-04-22 00:00:00","One of the best waitress/waiter staffs in the area. Very friendly and knowledgeable. Great food. I will suggest my favorite, the Bison Burger and cajun tater tots."
"-iOeI18tVuwxFHcqCe--fQ","Carey","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","5","2014-12-22 00:00:00","My wife and I ate here because we were in the mood for 'fresh' hamburgers. When we arrived on a Sunday about 6:30pm, the place was almost completely empty. This scared me a little, but there was a local NFL game starting at that time (Cardinals vs Seahawks) and, it seems, everyone was at the game. I'm told the place normally has a wait to get in.

Inside, they have 4 large flat screen TVs (3 over the bar, 1 at the opposite corner) showing sports with closed captioning on (thank you!).

My wife and I each ordered burgers and she had a side of the Mac and Cheese.
My burger came with fries.

The hamburger buns are very unique. They are like a swirled garlic bread. However, there was really no noticeable garlic taste, which is a good thing as far as I'm concerned. But each time I brought the burger up to my mouth, the aroma of garlic from the bread was quite nice.

The Mac and Cheese has elbow macaroni sitting a soup of a cheese blend that is more like how 'grandma used to make' then you might expect. It was, like the burgers, exceptional.

The fries are shoestring style (very thin, very crunchy) and everything tastes fresh (not frozen) and home made. The burgers are not uniform in shape or thickness, which tells me they are made by hand. Hallelujah!

The service was outstanding. The staff was extremely attentive. I noticed they have a 'Vernors Pound Cake' on the desert menu. Vernor's is a drink made in Detroit (where I was born and raised). I asked if the restaurant was Detroit-inspired and was told it's actually Brooklyn, New York-inspired and they really like Vernor's Ginger Ale in New York. 

They also have a root beer float on the menu, so I asked the staff if they offer a Vernor's float instead. (A Vernor's float is known by folks in Detroit as a 'Boston Cooler' and its no different than a root beer float, except you substitute Vernor's for root beer.)

They never heard of it before (not shocking, since no one outside of Detroit has ever heard of it) but they were more than happy to make one for me. And it was delicious!

My wife thought the ice tea she ordered tasted a little off, but she didn't say anything to the staff. I have no doubt they would have made it right if she brought it to their attention. 

She also ordered the Vernor's Pound Cake for desert. She thought it was too rich for her liking, but it wasn't bad by any means.

It appears the three restaurants beside each other are all owned and run by the same entity. There is Charr, then a pizza place (Isa's Pizza) and then a fine dining restaurant called Aiello's East Coast Italian.

There were plenty of items on the menu I wanted to try, such as baby back ribs and a grilled chicken sandwich. The pizza served next door looked good and Aiello's also looks like a nice place for us to try as well.

So we have four reasons to go back (try each of the other two restaurants, try other menu items at Charr, and if worse comes to worst, we would definitely go back to Charr and have REAL, fresh handmade burgers again! If I was going to open my own burger joint, this is similar to how I would do it.  There's only so many fast-food burgers one can ingest before desperately craving something that isn't factory made and doesn't require a loan to pay off. (our complete total for dinner and desert was $39 after tax. Quite reasonable and fair considering the quality and quantity of the food and the excellent service we received.)"
"-jDtacIrN9x4c3BDD5xkGQ","Liberty","n7V4cD-KqqE3OXk0irJTyA","GameWorks","2","2016-01-11 00:00:00","Facility is similar to a Dave and Busters but with a larger arcade area and a bar instead of restaurant.

Games: Okay selection. Typical games like carnival style, ticket winning games, arcade racing, two rhythm and very few Japanese games. My personal favorite is Taiko Drum Master. Some o the games are rather old and as maintain as other places.

People: For families and children. The kids could be worst and parents have them in line as best they can. Something about the place and the energy causes the parents to be very impatient and irrational.  Probably some kids are pestering their parents and they are at their wits end. The parents are only interested with their kids and they will interrupt your game if their kids want to play. Teenagers are just as bad. ""Every man from himself"" is what this place is like. That happen twice in one visit.

(Specific example, we waited in like for about 1/2-1hr for a game. Then a parent interrupted us when we were playing the game in the beginning and we were like fine. After a while we left and came back. Then we played again after waiting in line for [1/2-1hr] not interrupting the previous player but someone ask us to leave again.)

Arcade is for family which is great but the parents aren't gamers and have zero gaming etiquette.

Staff: Attentive and do what they must. About what you expect.

Come here if you have children. Maybe if you want to go from machine to machine. Not if you want to progress in the game or beat it."
"-ozZzOwDCiK3obovH_n_Ng","Dom","n7V4cD-KqqE3OXk0irJTyA","GameWorks","5","2016-07-20 00:00:00","Amazing place. I can leave my son here for hours. Last several times here, I scored the Groupon deal for $20, all day pass. That is a bargain. Love the fact that you can even play basketball toss and skee ball with the pass. We went for three hours, went to a basketball tournament, grabbed dinner, then came back for another two hours. Awesome place, awesome deal."
"-_vQjMAn8ooClV02BExR5A","Andy","PfOCPjBrlQAnz__NXj9h_w","Brick House Tavern + Tap","3","2013-08-22 00:00:00","I stopped into the Brick House this evening for a beer and for a dinner and was slightly let down.  I've had multiple trips to this place and their saving grace is that the bartenders and wait staff is usually extremely pleasant.  Tonight they were very inattentive and seemed to ignore me for the most part.  There were some ride and obnoxious people at the bar that took a lot of their attention and a motorcycle gang called ""Switchblade Club"" that occupied the outside area.  The kitchen was slow at turning things around.  Also I was sad to learn that the were it of the daily special which was the chicken pot pie.

I will go back to this place but am in no hurry."
"00y_qiDGICaNqFZqxM-DfQ","Farren","PfOCPjBrlQAnz__NXj9h_w","Brick House Tavern + Tap","5","2016-08-13 00:00:00","We just moved to Cuyahoga Falls and wanted to give this place a try we have been here twice now and no complaints about absolutely anything. The first time we ordered the butchers board appetizer (AWESOME) and then we both got burgers which were also perfect. The second time we sat outside I got the the chicken pot pie (which I could probably eat every day for the rest of my life) and he got the turkey club which was not only great tasting but awesome presentation. The service was above and beyond both times; greeted by host and seated immediately upon walking in and asked preference  of seating, waiter did a great job of timing everything we got drinks and then the appetizer and then the meals and didn't wait at all OR feel rushed. Great food, great atmosphere, great service :)"
"05-3QrNkZambWSkMzXQS6g","Amanda","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","1","2013-06-04 00:00:00","UGH. That's the word that comes to mind when I think back on our visit to Char.  It was restaurant week and I can only assume that it was their first time participating judging by the fact that they ran out of half of the items on their menu.  The 3 things we wanted to order- guess what were out.  And the poor maybe a day over 16 year old waitress had no idea how to handle that.  We wanted the oysters, we were told they were out, so we said we take the chicken wings and guess what, they were out too!  So, of the appetizer choices we were forced into a crab cake.  This crab cake was mediocre at best. Crusty on the outside like a potato cake and mushy in the middle.  Gross.  We received potato pancakes with our meals that looked exactly like the crab cake- and just as disgusting.  When some older gentleman that I can only assume was an owner came by to check on us he noticed I had barely touched the potato cake.  When he asked me if I liked it, I began to respond with a ""not so much"" look on my face and he quickly ran off before I could even share my feedback with him.  This place needs to get it together. You obviously weren't ready for restaurant week or a serving food in general."
"06jqtwcRGEyBxhJEgOLWjw","Ben","n7V4cD-KqqE3OXk0irJTyA","GameWorks","1","2017-08-16 00:00:00","My review was removed by Yelp (presumably by mgmt complaint) because I didn't provide enough detail.  So I'm rewriting my review, per the ""yelp community"" request.

I've been here before and the service on the restaurant side is less than desirable.  My most recent visit started of course walking to the front to be seated even though the tables are empty.  I was seated at a booth and there were crumbs.  As though the table was wiped down but some debris was left behind.  Adjacent to my booth was another booth with dirty plates/drinks etc. (like everyone placed the dirty dishes at one table to gather together).  Waitress proceeded to ""handle"" the dirty dishes then bring me water.  Didn't see her wash her hands, but she may have.

Food comes (not too long of a wait) and it's missing some stuff.  No biggy, just said hey, missing this and this.  I would of told the guy who delivered the food but he said ""food"" left the tray on the table and quickly left.

Keep in mind I'm still missing stuff from my food, the waitress has been told, then she goes to other tables.  Kind of hard to eat my salad without dressing.  I wait and get it, no big deal.

Food was ok, depending on what you get.  Better off eating elsewhere then going here to play games (assuming you have kids like me)

Happy Yelp community?!?!?! Lol"
"08wSFRGYhdMsWOS4yMTlPw","Tramic","n7V4cD-KqqE3OXk0irJTyA","GameWorks","3","2015-04-21 00:00:00","Surprisingly, I didn't see OUT OF ORDER signs on any machines.  But the cost of playing kept my visit short."
